path,sha256,bytes,kind,status,author,source,license,local_notice,notes
game/art/anims/GroundSit_Enter.res,279ba4bf8f2f689401f08eb810043d76ef5c30816194ceed51809b24dbd8735b,75334,res,review_required,unverified,unverified,unverified,,No repository-local provenance record currently clears this distributed asset.
game/art/anims/GroundSit_Exit.res,42af29251faa216fae718a65b00a66911334ba0480bbbdb0afdf12860e82f8bc,49696,res,review_required,unverified,unverified,unverified,,No repository-local provenance record currently clears this distributed asset.
game/art/anims/GroundSit_Idle.res,fdd625877ab527fe3f0f192aa757d61850ce0a09740b42a180ff0e7fe8ade0f0,22689,res,review_required,unverified,unverified,unverified,,No repository-local provenance record currently clears this distributed asset.
game/art/anims/Hit_Chest.res,4561d1a4de1b2ced02036b9eb67f0f002fc0b795cdcf1d8443b3b759f76f18df,26322,res,review_required,unverified,unverified,unverified,,No repository-local provenance record currently clears this distributed asset.
game/art/anims/Hit_Head.res,dd6a405155258d311ca44bdf362c3f96d075c77c85e8184be483ec3baf27bdb1,29260,res,review_required,unverified,unverified,unverified,,No repository-local provenance record currently clears this distributed asset.
game/art/anims/Hit_Shoulder_L.res,c2ccd2699ba55e8b16d5425672b4f838b3adffe745e38ac5135ed104b323636c,20324,res,review_required,unverified,unverified,unverified,,No repository-local provenance record currently clears this distributed asset.
game/art/anims/Hit_Shoulder_R.res,a5988d280708f57a8692a8e490eb20f9748dd1120310052985279f191b6aac50,21328,res,review_required,unverified,unverified,unverified,,No repository-local provenance record currently clears this distributed asset.
game/art/anims/Hit_Stomach.res,06505d1a4e8542c86617c213771fdff4c8b8b40ed6f496f1cabad951cfdc2d19,23814,res,review_required,unverified,unverified,unverified,,No repository-local provenance record currently clears this distributed asset.
game/art/anims/Idle.res,0db111064bbd5e815f3f313a05faecf7996d45c5c53db187a3efc274cead3d6d,40041,res,review_required,unverified,unverified,unverified,,No repository-local provenance record currently clears this distributed asset.
game/art/anims/Idle_LookAround.res,7a7877422e1b5f8a7f29e1a1b3746e15e83c9d7be2ae5c003cdf5d27ddf2387b,93871,res,review_required,unverified,unverified,unverified,,No repository-local provenance record currently clears this distributed asset.
game/art/anims/Idle_Paper.res,3585328d32cd404b0f581f02cd975200845627732f6ed24a2a4ea838d585e9ab,73532,res,review_required,unverified,unverified,unverified,,No repository-local provenance record currently clears this distributed asset.
game/art/anims/Idle_Rock.res,6063482be4109416e0450ba2f519772d53fb34754b959d9514b7743987e94c77,64026,res,review_required,unverified,unverified,unverified,,No repository-local provenance record currently clears this distributed asset.
game/art/anims/Idle_Scissors.res,3d93aaed7d28ba8611988092f3092d030501730a3caefb0e3df371c033ea7c4f,68066,res,review_required,unverified,unverified,unverified,,No repository-local provenance record currently clears this distributed asset.
